network_node1	network_node2
G6_Cl_7	G430_Cl_13
G6_Cl_7	G443_Cl_10
G6_Cl_7	G445_Cl_11
G6_Cl_7	G446_Cl_11
G6_Cl_7	G463_Cl_3
G6_Cl_7	G583_Cl_2
G6_Cl_7	G621_Cl_12
G6_Cl_7	G622_Cl_5
G6_Cl_7	G764_Cl_2
G6_Cl_8	G19_Cl_2
G6_Cl_8	G72_Cl_6
G6_Cl_8	G109_Cl_2
G6_Cl_8	G174_Cl_5
G6_Cl_8	G178_Cl_11
G6_Cl_8	G206_Cl_2
G6_Cl_8	G227_Cl_11
G6_Cl_8	G247_Cl_7
G6_Cl_8	G333_Cl_8
G6_Cl_8	G361_Cl_5
G6_Cl_8	G427_Cl_8
G6_Cl_8	G430_Cl_9
G6_Cl_8	G448_Cl_11
G6_Cl_8	G463_Cl_3
G6_Cl_8	G500_Cl_12
G6_Cl_8	G583_Cl_7
G6_Cl_8	G604_Cl_6
G6_Cl_8	G653_Cl_8
G6_Cl_8	G674_Cl_11
G6_Cl_8	G675_Cl_8
G6_Cl_8	G701_Cl_13
G6_Cl_8	G702_Cl_11
G6_Cl_9	G72_Cl_6
G6_Cl_9	G174_Cl_5
G6_Cl_9	G182_Cl_9
G6_Cl_9	G247_Cl_7
G6_Cl_9	G357_Cl_9
G6_Cl_9	G361_Cl_5
G6_Cl_9	G428_Cl_8
G6_Cl_9	G429_Cl_5
G6_Cl_9	G430_Cl_7
G6_Cl_9	G455_Cl_10
G6_Cl_9	G463_Cl_3
G6_Cl_9	G485_Cl_7
G6_Cl_9	G500_Cl_12
G6_Cl_9	G578_Cl_3
G6_Cl_9	G604_Cl_6
G6_Cl_9	G610_Cl_10
G6_Cl_9	G612_Cl_8
G6_Cl_9	G621_Cl_16
G6_Cl_9	G622_Cl_4
G6_Cl_9	G622_Cl_12
G6_Cl_9	G632_Cl_6
G6_Cl_9	G653_Cl_8
G6_Cl_9	G710_Cl_8
G6_Cl_10	G427_Cl_10
G6_Cl_10	G428_Cl_4
G6_Cl_10	G430_Cl_4
G6_Cl_10	G463_Cl_3
G6_Cl_10	G621_Cl_13
G6_Cl_10	G622_Cl_14
G6_Cl_10	G764_Cl_2
G6_Cl_11	G177_Cl_17
G6_Cl_11	G227_Cl_11
G6_Cl_11	G361_Cl_5
G6_Cl_11	G428_Cl_14
G6_Cl_11	G429_Cl_8
G6_Cl_11	G430_Cl_8
G6_Cl_11	G463_Cl_3
G6_Cl_11	G500_Cl_12
G6_Cl_11	G583_Cl_4
G6_Cl_11	G583_Cl_13
G6_Cl_11	G675_Cl_12
G6_Cl_11	G701_Cl_13
G6_Cl_11	G762_Cl_5
G6_Cl_11	G764_Cl_2
G6_Cl_12	G179_Cl_9
